Date,Time,PID,TID,Level,Tag,Message
11-06,12:01:51.763,0,0,W,healthd,healthd:  : battery l=97 v=4132 t=24.2 h=2 st=4 c=-1659178 fc=5703000 cc=6 chg=u
11-06,12:01:52.398,0,0,W,healthd,healthd:  : battery l=97 v=4132 t=24.2 h=2 st=4 c=-1659178 fc=5703000 cc=6 chg=u
11-06,12:02:27.223,1191,1986,I,DisplayDeviceRepository,"DisplayDeviceRepository:  Display device added: DisplayDeviceInfo{""com.oculus.android_panel_app.AndroidPanelLayer-com.oculus.systemux-#main"": uniqueId=""virtual:com.oculus.systemux 10013 com.oculus.android_panel_app.AndroidPanelLayer-com.oculus.systemux-#main 9"" 480 x 938 modeId 2390 defaultModeId 2390 supportedModes [{id=2390 width=480 height=938 fps=60.0 alternativeRefreshRates=[]}] colorMode 0 supportedColorModes [0] hdrCapabilities null allmSupported false gameContentTypeSupported false density 200 200.0 x 200.0 dpi appVsyncOff 0 presDeadline 16666666 touch NONE rotation 0 type VIRTUAL deviceProductInfo null state OFF owner com.oculus.systemux (uid 10013) frameRateOverride brightnessMinimum 0.0 brightnessMaximum 0.0 brightnessDefault 0.0 FLAG_PRIVATE FLAG_NEVER_BLANK FLAG_OWN_CONTENT_ONLY}"
11-06,12:02:27.224,1191,1986,I,LogicalDisplayMapper,LogicalDisplayMapper:  Applying layout: [{addr: {port=129 model=0x40446db4f73381} dispId: 0(ON)}] Previous layout: [{addr: {port=129 model=0x40446db4f73381} dispId: 0(ON)}]
11-06,12:02:27.224,1191,1986,I,LogicalDisplayMapper,"LogicalDisplayMapper:  Adding new display: 1442: DisplayInfo{""com.oculus.android_panel_app.AndroidPanelLayer-com.oculus.systemux-#main"" displayId 1442"" displayGroupId -1 FLAG_PRIVATE real 480 x 938 largest app 480 x 938 smallest app 480 x 938 appVsyncOff 0 presDeadline 16666666 mode 2390 defaultMode 2390 modes [{id=2390 width=480 height=938 fps=60.0 alternativeRefreshRates=[]}] hdrCapabilities null userDisabledHdrTypes [] minimalPostProcessingSupported false rotation 0 state OFF type VIRTUAL uniqueId ""virtual:com.oculus.systemux 10013 com.oculus.android_panel_app.AndroidPanelLayer-com.oculus.systemux-#main 9"" app 480 x 938 density 200 (200.0 x 200.0) dpi layerStack 1442 colorMode 0 supportedColorModes [0] deviceProductInfo null owner com.oculus.systemux (uid 10013) removeMode 1 refreshRateOverride 0.0 brightnessMinimum 0.0 brightnessMaximum 0.0 brightnessDefault 0.0}"
11-06,12:02:27.225,1191,1986,I,LogicalDisplayMapper,LogicalDisplayMapper:  Setting new display group 0 for display 1442 from previous group: null
11-06,12:02:27.225,1191,1986,W,DisplayPowerController[1442],DisplayPowerController[1442]:  Screen brightness nits configuration is unavailable; falling back
11-06,12:02:27.245,1191,1298,I,WindowManager,WindowManager:  Override config changes=20005df8 {0.0 ?mcc?mnc ?localeList ?layoutDir sw384dp w384dp h750dp 200dpi nrml long port ?uimode ?night -touch -keyb/v/h -nav/h winConfig={ mBounds=Rect(0 0 - 480 938) mAppBounds=Rect(0 0 - 480 938) mMaxBounds=Rect(0 0 - 480 938) mWindowingMode=fullscreen mDisplayWindowingMode=fullscreen mActivityType=undefined mAlwaysOnTop=undefined mRotation=ROTATION_0} ?fontWeightAdjustment} for displayId=1442
11-06,12:02:27.259,1191,1298,V,WindowManager,WindowManager:  Display 1442 state is now (1) so update layer mirroring?
11-06,12:02:27.311,1191,1300,I,DisplayDeviceRepository,"DisplayDeviceRepository:  Display device changed: DisplayDeviceInfo{""com.oculus.android_panel_app.AndroidPanelLayer-com.oculus.systemux-#main"": uniqueId=""virtual:com.oculus.systemux 10013 com.oculus.android_panel_app.AndroidPanelLayer-com.oculus.systemux-#main 9"" 480 x 938 modeId 2390 defaultModeId 2390 supportedModes [{id=2390 width=480 height=938 fps=60.0 alternativeRefreshRates=[]}] colorMode 0 supportedColorModes [0] hdrCapabilities null allmSupported false gameContentTypeSupported false density 200 200.0 x 200.0 dpi appVsyncOff 0 presDeadline 16666666 touch NONE rotation 0 type VIRTUAL deviceProductInfo null state OFF owner com.oculus.systemux (uid 10013) frameRateOverride brightnessMinimum 0.0 brightnessMaximum 0.0 brightnessDefault 0.0 FLAG_PRIVATE FLAG_NEVER_BLANK FLAG_OWN_CONTENT_ONLY}"
11-06,12:02:27.312,1191,1300,I,DisplayDeviceRepository,"DisplayDeviceRepository:  Display device changed: DisplayDeviceInfo{""com.oculus.android_panel_app.AndroidPanelLayer-com.oculus.systemux-#main"": uniqueId=""virtual:com.oculus.systemux 10013 com.oculus.android_panel_app.AndroidPanelLayer-com.oculus.systemux-#main 9"" 480 x 938 modeId 2390 defaultModeId 2390 supportedModes [{id=2390 width=480 height=938 fps=60.0 alternativeRefreshRates=[]}] colorMode 0 supportedColorModes [0] hdrCapabilities null allmSupported false gameContentTypeSupported false density 200 200.0 x 200.0 dpi appVsyncOff 0 presDeadline 16666666 touch NONE rotation 0 type VIRTUAL deviceProductInfo null state ON owner com.oculus.systemux (uid 10013) frameRateOverride brightnessMinimum 0.0 brightnessMaximum 0.0 brightnessDefault 0.0 FLAG_PRIVATE FLAG_NEVER_BLANK FLAG_OWN_CONTENT_ONLY}"
11-06,12:02:27.319,1191,1298,V,WindowManager,WindowManager:  Display 1442 state is now (2) so update layer mirroring?
11-06,12:02:28.572,1191,4329,W,ProcessStats,ProcessStats:  Tracking association SourceState{b659fc7 com.oculus.vrshell/10037 BTopFgs #4882649} whose proc state 2 is better than process ProcessState{b68d368 com.oculus.ocms/10033 pkg=com.oculus.ocms} proc state 3 (36 skipped)
11-06,12:01:55.616,0,0,I,input,input:  : Device 0xE1499EB38BF1E9B6 as /devices/virtual/input/input69
11-06,12:02:29.670,1191,1298,V,WindowManager,WindowManager:  Display 1430 state is now (2) so update layer mirroring?
11-06,12:02:29.670,1191,1298,V,WindowManager,WindowManager:  Display 1431 state is now (2) so update layer mirroring?
11-06,12:02:29.671,1191,1298,V,WindowManager,WindowManager:  Display 1438 state is now (2) so update layer mirroring?
11-06,12:02:29.671,1191,1298,V,WindowManager,WindowManager:  Display 1439 state is now (2) so update layer mirroring?
11-06,12:02:29.679,1191,1298,V,WindowManager,WindowManager:  Display 1440 state is now (2) so update layer mirroring?
11-06,12:02:29.680,1191,1298,V,WindowManager,WindowManager:  Display 1441 state is now (2) so update layer mirroring?
11-06,12:02:29.680,1191,1298,V,WindowManager,WindowManager:  Display 1442 state is now (2) so update layer mirroring?
11-06,12:01:56.038,0,0,I,input,input:  : Device 0x57FE0D1C7704B76F as /devices/virtual/input/input70
11-06,12:01:58.133,0,0,E,syncboss_spi,syncboss_spi:  spi0.0: bad magic from MCU (value: 0xcacacaca data_ready_irq: 1 wake_timer: 0 send_timer: 0 msg_to_send: 0)
11-06,12:01:59.879,0,0,W,healthd,healthd:  : battery l=97 v=4132 t=24.7 h=2 st=4 c=-1504882 fc=5703000 cc=6 chg=u
11-06,12:02:02.412,0,0,W,healthd,healthd:  : battery l=97 v=4123 t=24.7 h=2 st=4 c=-1703124 fc=5703000 cc=6 chg=u
