Category,App Name,Pricing ($),Laps,States,Selected App,Ann 1 (Nikos),Nikos,Ann 2 (Sravya),Sravya,States(Sravya),Ann 3,Final State (Nahin),Try with and without login and need to write down the states
Media & Streaming,Youtube,N/A,"lap 1 0:20:60
lap 2 1:09:51
lap3 2:03:08
lap4 3:47: 88
Total 4:40:47","Without login: start -> home menu -> YouTube home menu->started a video-> back to home menu-> searched->started another video-home- back to quest home
With login -> home menu -> YouTube home menu->started a video-> back to home menu-> searched->started another video-home- back to quest home",yes,yes,,-,,,,,Try with 2/3 apps from each category so that we will get the overall idea from each of the category.
,,,"00:00:00.00 - Start
00:00:09.96 - Mount
00:00:27.82 - Idle
00:00:41.92 - Open App
00:00:44.70 - Search & Start Video
00:01:53.49 - Stop Video
00:02:02.10 - Turned to Window Mode & Start Video
00:02:56.87 - Stop Video
00:03:01.27 - Quit App
00:03:07.49 - Unmount
00:03:20.38 - Device Sleep","
start (quest home menu)->  permission (n/a)-> difficulty level(n/a)- > direct play and search and play -> paly2d video/ vr video-> exit",,,"00:00:00.00 - Start
00:00:10.49 - Mount
00:00:53.73 - Idle
00:00:54.50 - Open App
00:01:00.18 - Search & Start Video
00:02:30.73 - Stop Video
00:02:58.76 - Turned to Window Mode & Start Video
00:03:21.41 - Stop Video
00:03:28.89 - Quit App
00:03:36.29 - Unmount
00:05:02.73 - Device Sleep",,,,,"Open App 
Search & Start Video
Stop Video
Turned to Window Mode & Start Video
 Stop Video",
Media & Streaming,Spatial TV,9.99,,,,,,,,,,,
Media & Streaming,the spatial app,9.99,,,,,,,,,,,
Media & Streaming,Project Apex,N/A,"00:00:00.00 - Start
00:00:18.55 - Mount
00:01:07.12 - Idle
00:01:19.63 - Open App
00:01:31.86 - Ask for mic permission
00:02:10.49 - App Launch Complete (No buttons working -> requires waving the controller the ape need to move)
00:02:22.94 - Quit App
00:02:34.16 - Unmount
00:02:36.57 - Device Sleep","start (quest home menu)->  permission (microphone)-> difficulty level(n/a)- > direct play the game  -> (more around following the lead indication)-> exit
",yes,yes,"00:00:00.00 - Start
00:00:13.54 - Mount
00:01:06.02 - Idle
00:01:12.48 - Open App
00:01:20.55 - Ask for mic permission (granted)
00:01:32.84 - App Launch Complete (No buttons working)
00:02:07.11 - Quit App
00:02:16.69 - Unmount
00:04:38.98 - Device Sleep",-,,,,"Open App 
 mic permission
App Launch Complete (No buttons working -> requires waving the controller the ape need to move)
",
Media & Streaming,Moon VR Video Player,9.99,,,,,,,,,,,
Media & Streaming,Mezmer,7.99,,,,,,,,,,,
Media & Streaming,Amazon Prime Video,N/A,,,,,,,,,,,
Media & Streaming,Peacock,N/A,,,,,,,,,,,
Media & Streaming,Xtadium,N/A,,,,,,,,,,,
Media & Streaming,AmazeVR Concerts,N/A,,,,,,,,,,,
Utilities,ALVR,N/A,,,,,,,,,,,
Utilities,Wolvic,N/A,"00:00:00.00 - Start
00:00:06.54 - Mount
00:00:24.58 - Idle
00:00:30.41- Open App
00:00:40.66 - App Launch Complete
00:02:05.25 - search and browsing; CNN and Google Maps
00:02:25.36 - Quit App
00:02:28.59 - Unmount
00:02:32.01 - Device Sleep",start (quest home menu)->  permission (n/a)-> difficulty level(n/a)- > searching and browsing-> exit,yes,-,,yes,"00:00:13.01 - mounted the device, (non-Passthrough)
00:00:48.69 - stay idle(non- Passthrough),open app
00:00:16.36 - enter into app
00:00:12.15 - search with a link
00:01:23.26 - Play video in full screen 360 degrees,exit full screen
00:00:51.84 -  playing video and exit window, exit
00:00:42.82 - unmount the device and collect logs",open app-> search bar and suggested videos->choose video->full screen for 360 degrees view->exit fulscreen->exit app,,"Open App
 App Launch Complete
Search and browsing
",
Utilities,Spatial Phone: Mirror & Control,4.99,,,,,,,,,,,
Utilities,Brailleliga Experience,N/A,,,,,,,,,,,
Utilities,Arkio (MR),N/A,"00:00:00.00 - Start
00:00:44.93 - Mount
00:01:07.12 - Idle
00:00:49.29 - Open App
00:01:04.54 - Ask for special data(granted)
00:01:26.99 - App Launch Complete
00:02:09.71 - created something
00:02:18.32 - manipulated those
00:02:22.63 - make jump
00:02:31.72 - Quit App
00:02:37.17 - Unmount
00:02:51.59 - Device Sleep",start (quest home menu)->  permission (spacial data)-> difficulty level(n/a)- > starting build/ tutorial/ import-> explore the architecture (insert/ modify/ delete objects)-> exit,yes,-,,yes,"00:00:11.13 - mounted the device, (non-Passthrough)
00:01:06.74 - stay idle(non- Passthrough),open app
00:00:32.26 - enter into app/permissions
00:01:17.51 - use samples
00:03:33.13 - use scenes
00:00:36.23 - unmount the device and collect logs","Enter App->A panel with many options like samples, groups, etc-> choose samples->exit app


Permissions:

Permissions asked/granted- headset tracking, spatial

Passthrough-on without asking permission

eyes/face-tracking not enabled although app requested",,,
Utilities,First Steps,N/A,,,,,,,,,,,
Utilities,Meta Quest HDMI Link,N/A,,,,,,,,,,,
Utilities,Litesport: Join the Fitness Revolution,N/A,,,,,,,,,,,
Utilities,Spaceframe,N/A,,,,,,,,,,,
Utilities,3DVista VR,N/A,,,,,,,,,,,
Entertainment,SKYBOX VR Video Player,9.99,,,,,,,,,,,
Entertainment,HereSphere VR Video Player Demo,N/A,,,,,,,,,,,
Entertainment,Cirque du Soleil,6.99,,,,,,,,,,,
